[stage1] city=porto trajs=200000 roads=154144 batch=32 layers=4 bf16=True device=cuda
epoch 0 step 005050  total 0.2582  mgm 0.0086  contrast 0.2423  next 0.0073  lr 2.81e-04
epoch 0 step 005100  total 0.2170  mgm 0.0038  contrast 0.2095  next 0.0038  lr 2.81e-04
epoch 0 step 005150  total 0.2450  mgm 0.0034  contrast 0.2364  next 0.0052  lr 2.80e-04
epoch 0 step 005200  total 0.2547  mgm 0.0108  contrast 0.2338  next 0.0101  lr 2.80e-04
epoch 0 step 005250  total 0.2704  mgm 0.0043  contrast 0.2617  next 0.0043  lr 2.80e-04
epoch 0 step 005300  total 0.2663  mgm 0.0042  contrast 0.2582  next 0.0038  lr 2.79e-04
epoch 0 step 005350  total 0.3109  mgm 0.0040  contrast 0.3035  next 0.0034  lr 2.79e-04
epoch 0 step 005400  total 0.2184  mgm 0.0040  contrast 0.2090  next 0.0053  lr 2.78e-04
epoch 0 step 005450  total 0.2614  mgm 0.0088  contrast 0.2417  next 0.0109  lr 2.78e-04
epoch 0 step 005500  total 0.2300  mgm 0.0026  contrast 0.2237  next 0.0037  lr 2.78e-04
epoch 0 step 005550  total 0.3270  mgm 0.0032  contrast 0.3193  next 0.0045  lr 2.77e-04
epoch 0 step 005600  total 0.3047  mgm 0.0177  contrast 0.2594  next 0.0277  lr 2.77e-04
epoch 0 step 005650  total 0.2756  mgm 0.0034  contrast 0.2642  next 0.0081  lr 2.76e-04
epoch 0 step 005700  total 0.2620  mgm 0.0053  contrast 0.2501  next 0.0066  lr 2.76e-04
epoch 0 step 005750  total 0.2360  mgm 0.0046  contrast 0.2268  next 0.0046  lr 2.76e-04
epoch 0 step 005800  total 0.3250  mgm 0.0022  contrast 0.3199  next 0.0029  lr 2.75e-04
epoch 0 step 005850  total 0.2419  mgm 0.0031  contrast 0.2352  next 0.0036  lr 2.75e-04
epoch 0 step 005900  total 0.3044  mgm 0.0037  contrast 0.2918  next 0.0089  lr 2.74e-04
epoch 0 step 005950  total 0.3368  mgm 0.0059  contrast 0.3246  next 0.0063  lr 2.74e-04
epoch 0 step 006000  total 0.3207  mgm 0.0037  contrast 0.3126  next 0.0045  lr 2.74e-04
epoch 0 step 006050  total 0.2745  mgm 0.0024  contrast 0.2685  next 0.0036  lr 2.73e-04
epoch 0 step 006100  total 0.2991  mgm 0.0058  contrast 0.2880  next 0.0053  lr 2.73e-04
epoch 0 step 006150  total 0.3318  mgm 0.0047  contrast 0.3204  next 0.0067  lr 2.72e-04
epoch 0 step 006200  total 0.2871  mgm 0.0028  contrast 0.2807  next 0.0037  lr 2.72e-04
epoch 1 step 006250  total 0.2780  mgm 0.0031  contrast 0.2704  next 0.0045  lr 2.71e-04
epoch 1 step 006300  total 0.2487  mgm 0.0062  contrast 0.2374  next 0.0050  lr 2.71e-04
epoch 1 step 006350  total 0.2765  mgm 0.0028  contrast 0.2707  next 0.0030  lr 2.70e-04
epoch 1 step 006400  total 0.2643  mgm 0.0033  contrast 0.2556  next 0.0053  lr 2.70e-04
epoch 1 step 006450  total 0.2862  mgm 0.0128  contrast 0.2638  next 0.0096  lr 2.70e-04
epoch 1 step 006500  total 0.2574  mgm 0.0055  contrast 0.2443  next 0.0077  lr 2.69e-04
epoch 1 step 006550  total 0.2611  mgm 0.0051  contrast 0.2502  next 0.0058  lr 2.69e-04
epoch 1 step 006600  total 0.3124  mgm 0.0072  contrast 0.2981  next 0.0072  lr 2.68e-04
epoch 1 step 006650  total 0.2495  mgm 0.0028  contrast 0.2422  next 0.0045  lr 2.68e-04
epoch 1 step 006700  total 0.2851  mgm 0.0027  contrast 0.2782  next 0.0042  lr 2.67e-04
